epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8444,1.64245,1.04004,1.68191,0.53914,0.56667,0.60152,0.23692,2.10366,1.49035,1.88183,0.000990918,0.000990918,0.000990918
43,8641.33,1.58144,1.06741,1.62312,0.5497,0.53333,0.584,0.21637,2.1221,1.54822,1.8896,0.000974429,0.000974429,0.000974429
44,8839.2,1.56981,1.0214,1.63804,0.53862,0.55753,0.55133,0.21614,2.08335,1.60293,1.87189,0.000957939,0.000957939,0.000957939
45,9037.86,1.49777,0.96783,1.571,0.66691,0.58333,0.60533,0.24124,2.10065,1.47719,1.89076,0.000941449,0.000941449,0.000941449
46,9235.54,1.50614,0.94218,1.57081,0.43105,0.4997,0.39334,0.12949,2.32158,2.01252,2.12612,0.000924959,0.000924959,0.000924959
47,9434.45,1.50931,0.94708,1.5898,0.5394,0.52921,0.53923,0.1756,2.39907,1.76372,2.19561,0.000908469,0.000908469,0.000908469
48,9632.62,1.46011,0.93917,1.5495,0.60645,0.58333,0.56688,0.23742,2.27964,1.39817,2.15653,0.00089198,0.00089198,0.00089198
49,9831.72,1.45522,0.96186,1.56227,0.67247,0.64867,0.6809,0.25322,2.24929,1.31519,2.10518,0.00087549,0.00087549,0.00087549
50,10031.2,1.43061,0.89625,1.52443,0.73174,0.75,0.75237,0.27602,2.31584,1.25667,2.19999,0.000859,0.000859,0.000859
51,10229.4,1.4162,0.85646,1.50824,0.75639,0.68416,0.73743,0.27581,2.30235,1.26699,2.11175,0.00084251,0.00084251,0.00084251
52,10427.9,1.48919,0.86228,1.56136,0.61824,0.68333,0.63864,0.24761,2.30331,1.2797,2.14615,0.00082602,0.00082602,0.00082602
53,10625.9,1.36167,0.82265,1.47751,0.71019,0.7,0.68092,0.24615,2.29874,1.47627,2.18003,0.000809531,0.000809531,0.000809531
54,10824.4,1.36632,0.83226,1.48436,0.83652,0.24035,0.2709,0.07789,2.62479,3.05638,2.35954,0.000793041,0.000793041,0.000793041
55,11023.3,1.42369,0.83073,1.53371,0.80593,0.59385,0.70349,0.25967,2.31266,1.41706,2.08446,0.000776551,0.000776551,0.000776551
56,11222.3,1.34359,0.76765,1.43997,0.78017,0.75,0.78624,0.29662,2.22999,1.18953,2.04283,0.000760061,0.000760061,0.000760061
57,11420,1.39695,0.7849,1.52649,0.65441,0.72602,0.67713,0.25109,2.40543,1.31658,2.24735,0.000743571,0.000743571,0.000743571
58,11618.9,1.35755,0.82132,1.4858,0.65861,0.69666,0.69885,0.23257,2.27573,1.31635,2.15449,0.000727082,0.000727082,0.000727082
59,11817.4,1.31071,0.83089,1.43155,0.66618,0.74146,0.77225,0.29568,2.05128,1.24122,1.94229,0.000710592,0.000710592,0.000710592
60,12015,1.29182,0.77717,1.42079,0.7701,0.75935,0.77951,0.29018,2.20153,1.27305,2.06184,0.000694102,0.000694102,0.000694102
61,12214,1.33843,0.80704,1.44125,0.79233,0.73333,0.74193,0.29193,2.23089,1.14512,2.14859,0.000677612,0.000677612,0.000677612
62,12411.2,1.26746,0.77401,1.40285,0.69579,0.66667,0.64811,0.25737,2.21778,1.35676,2.1544,0.000661122,0.000661122,0.000661122
63,12608.5,1.23332,0.7479,1.38186,0.68337,0.65,0.61466,0.24505,2.25851,1.39739,2.17721,0.000644633,0.000644633,0.000644633
64,12806.1,1.22388,0.72046,1.36232,0.74134,0.73777,0.71254,0.26902,2.228,1.42316,2.2085,0.000628143,0.000628143,0.000628143
65,13008.7,1.23276,0.71117,1.40036,0.75767,0.73333,0.70982,0.28389,2.33279,1.31975,2.3297,0.000611653,0.000611653,0.000611653
66,13217.4,1.25125,0.68568,1.36647,0.72996,0.7009,0.73351,0.27034,2.30987,1.24416,2.32085,0.000595163,0.000595163,0.000595163
67,13431.6,1.18571,0.66907,1.3702,0.78695,0.71352,0.74214,0.29989,2.28323,1.26896,2.21046,0.000578673,0.000578673,0.000578673
68,13668.2,1.19479,0.67902,1.35282,0.80537,0.7947,0.78619,0.3094,2.24895,1.18433,2.18974,0.000562184,0.000562184,0.000562184
69,13951.3,1.19744,0.67961,1.3394,0.72982,0.72083,0.72568,0.3032,2.23648,1.20789,2.19383,0.000545694,0.000545694,0.000545694
70,14248.4,1.17929,0.70782,1.34732,0.76504,0.71667,0.73066,0.31576,2.25822,1.1281,2.27429,0.000529204,0.000529204,0.000529204
71,14523.3,1.16504,0.66713,1.32438,0.71581,0.71667,0.70611,0.28171,2.28539,1.2672,2.26709,0.000512714,0.000512714,0.000512714
72,14781.6,1.14072,0.64424,1.29692,0.68717,0.79602,0.75638,0.30928,2.21676,1.19309,2.19864,0.000496224,0.000496224,0.000496224
73,15034.5,1.15635,0.63651,1.31341,0.71256,0.73748,0.71435,0.27697,2.20694,1.33229,2.21219,0.000479735,0.000479735,0.000479735
74,15284.8,1.12832,0.63287,1.30156,0.81793,0.82615,0.80269,0.33674,2.15635,1.13767,2.19272,0.000463245,0.000463245,0.000463245
75,15538.5,1.10292,0.60199,1.26927,0.83922,0.83333,0.80102,0.32917,2.21499,1.16595,2.22808,0.000446755,0.000446755,0.000446755
76,15791,1.08261,0.62395,1.27316,0.77212,0.75,0.74584,0.30246,2.29984,1.31502,2.22517,0.000430265,0.000430265,0.000430265
77,16047.9,1.12952,0.59919,1.29355,0.74026,0.77704,0.74955,0.3097,2.28073,1.21159,2.3022,0.000413775,0.000413775,0.000413775
78,16301.5,1.11302,0.59566,1.26707,0.73068,0.78333,0.74542,0.3141,2.19069,1.23195,2.16365,0.000397286,0.000397286,0.000397286
79,16535.2,1.03773,0.5828,1.26183,0.813,0.72109,0.79169,0.30368,2.2575,1.26919,2.22766,0.000380796,0.000380796,0.000380796
80,16750.4,1.02641,0.5891,1.25321,0.72135,0.74964,0.76392,0.32327,2.25153,1.21037,2.21165,0.000364306,0.000364306,0.000364306
81,16965.1,0.9647,0.55845,1.19898,0.74201,0.72391,0.72042,0.3051,2.31465,1.23919,2.34546,0.000347816,0.000347816,0.000347816
82,17186.1,1.00855,0.57023,1.22606,0.76316,0.71667,0.7592,0.31771,2.26283,1.18313,2.30846,0.000331326,0.000331326,0.000331326
83,17393.2,1.01006,0.54737,1.20866,0.72219,0.7,0.758,0.31488,2.29359,1.29737,2.35187,0.000314837,0.000314837,0.000314837
84,17600.3,0.96551,0.54887,1.18976,0.68663,0.67476,0.70094,0.28137,2.3377,1.45322,2.35144,0.000298347,0.000298347,0.000298347
85,17807.7,0.94865,0.53655,1.18919,0.76891,0.75925,0.76296,0.30512,2.32521,1.31798,2.37564,0.000281857,0.000281857,0.000281857
86,18031.1,0.96371,0.53252,1.19697,0.69858,0.7045,0.72526,0.29161,2.30935,1.29874,2.3371,0.000265367,0.000265367,0.000265367
87,18288.8,0.97196,0.53009,1.19797,0.67445,0.68333,0.70409,0.2782,2.31656,1.29692,2.36009,0.000248877,0.000248877,0.000248877
88,18551.4,0.93451,0.53717,1.18423,0.68325,0.73333,0.71945,0.28956,2.29346,1.24256,2.35093,0.000232388,0.000232388,0.000232388
89,18814.7,0.93342,0.52523,1.18659,0.7455,0.71667,0.72247,0.29393,2.31143,1.2126,2.42277,0.000215898,0.000215898,0.000215898
90,19073.1,0.91738,0.50224,1.15701,0.71773,0.7421,0.72079,0.2815,2.34111,1.2851,2.43642,0.000199408,0.000199408,0.000199408
91,19334.6,0.86042,0.50229,1.12776,0.74789,0.75088,0.74096,0.29536,2.29861,1.27169,2.38595,0.000182918,0.000182918,0.000182918
92,19599.7,0.87154,0.49292,1.12815,0.77447,0.76185,0.75044,0.28414,2.34835,1.266,2.4607,0.000166428,0.000166428,0.000166428
93,19805.8,0.87153,0.47848,1.13488,0.73477,0.73516,0.69621,0.27108,2.41735,1.25507,2.56817,0.000149939,0.000149939,0.000149939
94,20006.4,0.86593,0.48259,1.11236,0.7822,0.77776,0.75199,0.28926,2.39288,1.20049,2.54566,0.000133449,0.000133449,0.000133449
95,20206.2,0.89543,0.47954,1.15624,0.79783,0.78333,0.78237,0.30337,2.37238,1.18873,2.55093,0.000116959,0.000116959,0.000116959
96,20405.8,0.84719,0.48013,1.12862,0.74712,0.73333,0.7121,0.29557,2.36238,1.24013,2.48086,0.000100469,0.000100469,0.000100469
97,20605.5,0.85813,0.48029,1.12894,0.7486,0.75,0.73801,0.28848,2.3611,1.28566,2.49289,8.39795e-05,8.39795e-05,8.39795e-05
98,20804.9,0.84072,0.47316,1.10783,0.75916,0.76667,0.73898,0.29807,2.34266,1.25383,2.48724,6.74897e-05,6.74897e-05,6.74897e-05
99,21004.7,0.82474,0.46896,1.10461,0.75588,0.76667,0.73863,0.29626,2.33656,1.25286,2.466,5.09999e-05,5.09999e-05,5.09999e-05
